Fecha|Id_stock|URL_actual|Tamaño_coches|Posicion_coche|Total_paginas|URL_auto|URL_image|Estatus|T_invenario|Marca|Modelo|Version|Año|Km|Transmision|Costo_normal|Oferta|Mensualidades|Ubicacion
2025-03-12 01:13:35.319928|381381|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|10|191|https://www.kavak.com/mx/usado/bmw-x4-30_m40i_auto_4wd-suv-2021|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzgxMzgxL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzM5Mjk2MzA0NDgzLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Sin etiqueta|Sin datos|Bmw|X4|3.0 M40I AUTO 4WD|2021|22,000 km|Automático|Sin datos|908,999|$10,911 / mes*|Ciudad de México
2025-03-12 01:13:35.372323|365739|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|11|191|https://www.kavak.com/mx/usado/bmw-x5-30_xdrive45e_phev_auto-suv-2022|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzY1NzM5L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzM0MTA5NTc4OTYwLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Promos|Sin datos|Bmw|X5|3.0 XDRIVE45E PHEV AUTO|2022|35,784 km|Automático|$977,999|891,999|$10,719 / mes*|Ciudad de México
2025-03-12 01:13:35.423643|378389|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|12|191|https://www.kavak.com/mx/usado/audi-a6-20_mhev_45_tfsi_s_line_dct_4wd-sedan-2023|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzc4Mzg5L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzM4NDMyMzQ2NzM0LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Sin etiqueta|Sin datos|Audi|A6|2.0 MHEV 45 TFSI S LINE DCT 4WD|2023|16,456 km|Automático|Sin datos|874,999|$10,526 / mes*|Ciudad de México
2025-03-12 01:13:35.475692|380299|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|13|191|https://www.kavak.com/mx/usado/audi-a6-20_mhev_45_tfsi_s_line_dct_4wd-sedan-2023|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzgwMjk5L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzM5MDQ3NTg0MDkxLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Sin etiqueta|Sin datos|Audi|A6|2.0 MHEV 45 TFSI S LINE DCT 4WD|2023|15,668 km|Automático|Sin datos|840,999|$10,142 / mes*|Guadalajara
2025-03-12 01:13:35.526018|388963|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|14|191|https://www.kavak.com/mx/usado/jeep-wrangler-36_mhev_unlimited_sahara_auto_4wd-suv-2021|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzg4OTYzL0lOVEVSSU9SLWZseWVyLTE3NDE1NjQzMzAyMTguanBlZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NTQwLCJoZWlnaHQiOjMxMCwiYmFja2dyb3VuZCI6eyJyIjoyNTUsImciOjI1NSwiYiI6MjU1LCJhbHBoYSI6MH19fX0=|Recién publicado|Sin datos|Jeep|Wrangler|3.6 MHEV UNLIMITED SAHARA AUTO 4WD|2021|27,845 km|Automático|Sin datos|838,999|$10,120 / mes*|Cuernavaca
2025-03-12 01:13:35.573111|382082|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|15|191|https://www.kavak.com/mx/usado/volkswagen-cross_sport-36_fsi_r_line_auto_4wd-suv-2023|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzgyMDgyL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzM5NTY1OTUyODcwLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Sin etiqueta|Sin datos|Volkswagen|Cross Sport|3.6 FSI R-LINE AUTO 4WD|2023|34,786 km|Automático|Sin datos|815,999|$9,860 / mes*|Ciudad de México
2025-03-12 01:13:35.623083|387320|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|16|191|https://www.kavak.com/mx/usado/mercedes_benz-clase_c-15_mhev_c_200_sport_auto-sedan-2023|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzg3MzIwL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzQxMTA2NDE4NzQyLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Sin etiqueta|Sin datos|Mercedes Benz|Clase C|1.5 MHEV C 200 SPORT AUTO|2023|20,109 km|Automático|Sin datos|811,999|$9,814 / mes*|Querétaro
2025-03-12 01:13:35.673057|353616|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|17|191|https://www.kavak.com/mx/usado/chevrolet-corvette-62_stingray_z51_at_d-targa-2015|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzUzNjE2L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzM4NzEzNzIzMDczLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Promos|Sin datos|Chevrolet|Corvette|6.2 STINGRAY Z51 AT D|2015|48,620 km|Automático|$973,999|804,999|$9,735 / mes*|Ciudad de México
2025-03-12 01:13:35.723031|390068|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|18|191|https://www.kavak.com/mx/usado/mercedes_benz-clase_glc-20_phev_300_e_auto_4matic-suv-2022|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvNDg2NDY0NjQvRVhURVJJT1ItZnJvbnRTaWRlUGlsb3QtMC0yMDI1LTAzLTExVDAzMzUzOTkxMC5qcGVnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo1NDAsImhlaWdodCI6MzEwLCJiYWNrZ3JvdW5kIjp7InIiOjI1NSwiZyI6MjU1LCJiIjoyNTUsImFscGhhIjowfX19fQ==|Recién publicado|Sin datos|Mercedes Benz|Clase GLC|2.0 PHEV 300 E AUTO 4MATIC|2022|17,621 km|Automático|Sin datos|799,999|$9,679 / mes*|Ciudad de México
2025-03-12 01:13:35.774531|383560|https://www.kavak.com/mx/seminuevos?order=higher_price&page=0|29|19|191|https://www.kavak.com/mx/usado/jeep-wrangler-20_mhev_unlimited_sahara_sky_freedom_at-suv-2020|https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMzgzNTYwL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNzM5ODMzNzcxMDQ3LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTAsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjB9fX19|Sin etiqueta|Sin datos|Jeep|Wrangler|2.0 MHEV UNLIMITED SAHARA SKY FREEDOM AT|2020|57,779 km|Automático|Sin datos|798,999|$9,668 / mes*|Ciudad de México
